2020-01-03 07:42:09.341 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[8], pkt_type=[4] API_version=[1.100000] new_node -> content=[00010015000000054605000000014260;1578037329;192.168.14.13;0;0;1;66;C1:AF:00:01:00:16;1578037297;1578037328;-65;0;28;C1:AF:00:71:14:4A;1578037297;1578037328;-57;0;30;C1:AF:00:01:00:26;1578037297;1578037328;-72;0;29;C1:AF:00:79:8E:4A;1578037297;1578037327;-61;0;30;C1:00:00:54:6A:4A;1578037297;1578037327;-65;0;30;C1:AF:00:01:00:0E;1578037297;1578037325;-66;0;29;C1:00:00:51:A1:C0;1578037297;1578037328;-63;0;29;C1:AF:00:01:00:8E;1578037297;1578037328;-71;0;29;C1:AF:00:01:00:5B;1578037297;1578037328;-70;0;29;C1:AF:00:01:00:1D;1578037297;1578037328;-75;0;29;C1:AF:00:01:00:10;1578037297;1578037326;-66;0;29;C1:AF:00:01:00:3D;1578037297;1578037327;-69;0;29;C1:00:00:5F:9B:AE;1578037297;1578037328;-60;0;29;C1:AF:00:01:00:25;1578037297;1578037327;-67;0;29;C1:AF:00:01:00:13;1578037297;1578037327;-69;0;29;C1:AF:00:01:00:07;1578037297;1578037328;-77;0;29;C1:AF:00:01:00:7A;1578037297;1578037328;-67;0;29;C1:AF:00:01:00:06;1578037297;1578037328;-68;0;29;C1:AF:00:01:00:47;1578037297;1578037328;-68;0;29;C1:0F:00:20:93:89;1578037297;1578037327;-63;0;29;C1:A0:00:B4:9A:45;1578037297;1578037328;-32;0;30;C1:AF:00:01:00:15;1578037297;1578037328;-65;0;29;C1:AF:00:01:00:27;1578037297;1578037328;-66;0;29;C1:AF:00:7C:8E:49;1578037297;1578037328;-59;0;30;C1:00:00:5D:EC:3E;1578037297;1578037328;-63;0;30;C1:AF:00:01:00:05;1578037297;1578037328;-66;0;29;C1:AF:00:01:00:19;1578037297;1578037328;-66;0;29;C1:AF:00:8F:B1:E9;1578037297;1578037326;-63;0;30;C1:00:00:37:14:EC;1578037297;1578037328;-66;0;30;C1:AF:00:01:00:20;1578037297;1578037325;-74;0;29;C1:AF:00:01:00:29;1578037297;1578037327;-70;0;28;C1:AF:00:01:00:51;1578037297;1578037326;-70;0;29;C1:AF:00:01:00:23;1578037297;1578037326;-70;0;29;C1:AF:00:01:00:0F;1578037297;1578037326;-65;0;29;C1:AF:00:01:00:01;1578037297;1578037328;-77;0;29;C1:0F:00:0D:25:8D;1578037297;1578037329;-53;0;0;C1:AF:00:01:00:08;1578037297;1578037328;-71;0;29;C1:00:00:4F:8B:31;1578037297;1578037328;-67;0;29;C1:AF:00:01:00:2A;1578037297;1578037329;-69;0;28;C1:AF:00:01:00:0D;1578037297;1578037328;-68;0;29;C1:AF:00:01:00:11;1578037297;1578037329;-71;0;29;C1:AF:00:01:00:0C;1578037297;1578037329;-68;0;29;C1:AF:00:01:00:1B;1578037297;1578037327;-70;0;29;C1:AF:00:01:00:09;1578037297;1578037329;-69;0;29;C1:AF:00:01:00:21;1578037297;1578037329;-63;0;29;C1:00:00:58:D6:B6;1578037297;1578037328;-45;0;29;C1:AF:00:01:00:33;1578037298;1578037329;-65;0;29;C1:00:00:4A:3E:59;1578037298;1578037328;-32;0;30;C1:AF:00:01:00:1C;1578037298;1578037328;-70;0;29;C1:AF:00:01:00:02;1578037298;1578037329;-69;0;29;C1:AF:00:01:00:22;1578037298;1578037329;-69;0;29;C1:AF:00:01:00:24;1578037298;1578037328;-64;0;29;C1:AF:00:01:00:2F;1578037298;1578037329;-68;0;29;C1:00:00:36:70:F0;1578037298;1578037329;-57;0;30;C1:00:00:3C:F3:F5;1578037298;1578037329;-68;0;29;C1:AF:00:01:00:2B;1578037298;1578037329;-69;0;29;C1:AF:00:01:00:12;1578037298;1578037327;-70;0;28;C1:0F:00:2E:9A:67;1578037298;1578037328;-59;0;30;C1:AF:00:01:00:66;1578037298;1578037328;-66;0;29;C1:AF:00:01:00:32;1578037298;1578037328;-69;0;29;C1:AF:00:01:00:1A;1578037298;1578037328;-64;0;29;C1:AF:00:01:00:0B;1578037298;1578037328;-64;0;29;C1:AF:00:01:00:2D;1578037298;1578037328;-67;0;29;C1:AF:00:01:00:04;1578037298;1578037328;-67;0;29;C1:AF:00:01:00:0A;1578037298;1578037327;-66;0;29;C1:AF:00:01:00:31;1578037298;1578037328;-68;0;28;]
2020-01-03 07:42:09.341 INFO   [0x75513460](Gateway.c:1070 process_wifi_receive) - Get Tracked Object Data from LBeacon
2020-01-03 07:42:09.643 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[8], pkt_type=[4] API_version=[1.100000] new_node -> content=[00010015000000054605000000018086;1578037329;192.168.14.12;0;0;1;66;C1:AF:00:01:00:1A;1578037297;1578037328;-32;0;29;C1:AF:00:01:00:16;1578037297;1578037328;-38;0;28;C1:AF:00:01:00:03;1578037297;1578037328;-37;0;29;C1:AF:00:01:00:2D;1578037297;1578037328;-40;0;29;C1:AF:00:71:14:4A;1578037297;1578037328;-60;0;30;C1:AF:00:01:00:0A;1578037297;1578037328;-38;0;29;C1:AF:00:79:8E:4A;1578037297;1578037328;-67;0;30;C1:00:00:54:6A:4A;1578037297;1578037324;-56;0;30;C1:AF:00:01:00:0E;1578037297;1578037325;-38;0;29;C1:00:00:51:A1:C0;1578037297;1578037328;-46;0;29;C1:AF:00:01:00:8E;1578037297;1578037328;-43;0;29;C1:AF:00:01:00:5B;1578037297;1578037328;-40;0;29;C1:AF:00:01:00:1D;1578037297;1578037328;-45;0;29;C1:AF:00:01:00:10;1578037297;1578037327;-41;0;29;C1:0F:00:31:FA:9B;1578037297;1578037328;-56;0;30;C1:0F:00:2B:A4:83;1578037297;1578037328;-40;0;29;C1:AF:00:01:00:3D;1578037297;1578037328;-41;0;29;C1:00:00:5F:9B:AE;1578037297;1578037328;-41;0;29;C1:AF:00:01:00:13;1578037297;1578037326;-45;0;29;C1:0F:00:0D:25:8D;1578037297;1578037329;-50;0;0;C1:AF:00:01:00:7A;1578037297;1578037325;-45;0;29;C1:AF:00:01:00:06;1578037297;1578037328;-41;0;29;C1:0F:00:20:93:89;1578037297;1578037327;-46;0;29;C1:AF:00:01:00:15;1578037297;1578037328;-41;0;29;C1:AF:00:01:00:27;1578037297;1578037328;-42;0;29;C1:AF:00:7C:8E:49;1578037297;1578037328;-65;0;30;C1:00:00:5D:EC:3E;1578037297;1578037327;-59;0;30;C1:AF:00:01:00:14;1578037297;1578037328;-42;0;28;C1:AF:00:01:00:2C;1578037297;1578037328;-41;0;29;C1:AF:00:01:00:05;1578037297;1578037328;-38;0;29;C1:AF:00:01:00:19;1578037297;1578037327;-41;0;29;C1:AF:00:8F:B1:E9;1578037297;1578037326;-63;0;30;C1:00:00:37:14:EC;1578037297;1578037328;-65;0;30;C1:AF:00:01:00:29;1578037297;1578037327;-47;0;28;C1:AF:00:01:00:0F;1578037297;1578037328;-41;0;29;C1:AF:00:01:00:01;1578037297;1578037327;-39;0;29;C1:AF:00:01:00:08;1578037297;1578037328;-41;0;29;C1:00:00:4F:8B:31;1578037297;1578037326;-44;0;29;C1:AF:00:01:00:2A;1578037297;1578037329;-40;0;28;C1:AF:00:01:00:0D;1578037297;1578037328;-38;0;29;C1:AF:00:01:00:0C;1578037297;1578037329;-41;0;29;C1:AF:00:01:00:1B;1578037297;1578037327;-40;0;29;C1:AF:00:01:00:21;1578037297;1578037329;-39;0;29;C1:00:00:58:D6:B6;1578037297;1578037329;-45;0;29;C1:AF:00:01:00:18;1578037298;1578037329;-40;0;29;C1:AF:00:01:00:33;1578037298;1578037329;-37;0;29;C1:AF:00:01:00:2E;1578037298;1578037326;-44;0;28;C1:00:00:4A:3E:59;1578037298;1578037329;-45;0;30;C1:AF:00:01:00:1C;1578037298;1578037329;-37;0;29;C1:AF:00:01:00:02;1578037298;1578037329;-44;0;29;C1:AF:00:01:00:24;1578037298;1578037328;-40;0;29;C1:AF:00:01:00:2F;1578037298;1578037329;-42;0;29;C1:00:00:36:70:F0;1578037298;1578037329;-47;0;30;C1:00:00:3C:F3:F5;1578037298;1578037329;-47;0;29;C1:AF:00:01:00:2B;1578037298;1578037329;-41;0;29;C1:AF:00:01:00:1E;1578037298;1578037327;-43;0;28;C1:0F:00:2E:9A:67;1578037298;1578037328;-59;0;30;C1:AF:00:01:00:66;1578037298;1578037328;-42;0;29;C1:AF:00:01:00:0B;1578037298;1578037328;-51;0;29;C1:AF:00:01:00:04;1578037298;1578037327;-41;0;29;C1:AF:00:01:00:26;1578037298;1578037328;-39;0;29;C1:AF:00:01:00:31;1578037298;1578037328;-44;0;28;C1:AF:00:01:00:1F;1578037298;1578037328;-40;0;28;C1:AF:00:01:00:07;1578037298;1578037328;-41;0;29;C1:AF:00:01:00:84;1578037298;1578037328;-38;0;28;C1:AF:00:01:00:23;1578037298;1578037326;-41;0;29;]
2020-01-03 07:42:09.643 INFO   [0x75513460](Gateway.c:1070 process_wifi_receive) - Get Tracked Object Data from LBeacon
2020-01-03 07:42:09.844 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[8], pkt_type=[4] API_version=[1.100000] new_node -> content=[00010015000000050083000000017738;1578037329;192.168.14.11;0;0;1;66;C1:AF:00:01:00:70;1578037297;1578037328;-59;0;29;C1:AF:00:01:00:1A;1578037297;1578037328;-64;0;29;C1:AF:00:01:00:16;1578037297;1578037328;-68;0;28;C1:AF:00:01:00:03;1578037297;1578037327;-68;0;29;C1:AF:00:71:14:4A;1578037297;1578037328;-66;0;30;C1:AF:00:01:00:26;1578037297;1578037328;-62;0;29;C1:AF:00:79:8E:4A;1578037297;1578037327;-74;0;30;C1:AF:00:01:00:0E;1578037297;1578037325;-60;0;29;C1:AF:00:01:00:8E;1578037297;1578037328;-63;0;29;C1:AF:00:01:00:1D;1578037297;1578037328;-70;0;29;C1:AF:00:01:00:10;1578037297;1578037326;-71;0;29;C1:0F:00:31:FA:9B;1578037297;1578037328;-67;0;30;C1:0F:00:2B:A4:83;1578037297;1578037328;-63;0;29;C1:00:00:5F:9B:AE;1578037297;1578037328;-70;0;29;C1:AF:00:01:00:25;1578037297;1578037327;-74;0;29;C1:AF:00:01:00:13;1578037297;1578037327;-62;0;29;C1:AF:00:01:00:07;1578037297;1578037328;-66;0;29;C1:0F:00:0D:25:8D;1578037297;1578037329;-61;0;0;C1:AF:00:01:00:7A;1578037297;1578037327;-67;0;29;C1:AF:00:01:00:06;1578037297;1578037328;-62;0;29;C1:0F:00:20:93:89;1578037297;1578037327;-64;0;29;C1:A0:00:B4:9A:45;1578037297;1578037328;-73;0;30;C1:AF:00:01:00:15;1578037297;1578037328;-57;0;29;C1:AF:00:01:00:27;1578037297;1578037328;-62;0;29;C1:AF:00:7C:8E:49;1578037297;1578037328;-64;0;30;C1:00:00:5D:EC:3E;1578037297;1578037328;-67;0;30;C1:AF:00:01:00:14;1578037297;1578037328;-62;0;28;C1:AF:00:01:00:05;1578037297;1578037328;-64;0;29;C1:AF:00:01:00:19;1578037297;1578037328;-65;0;29;C1:AF:00:8F:B1:E9;1578037297;1578037326;-71;0;30;C1:00:00:37:14:EC;1578037297;1578037328;-65;0;30;C1:AF:00:01:00:20;1578037297;1578037325;-62;0;29;C1:AF:00:01:00:29;1578037297;1578037327;-70;0;28;C1:AF:00:01:00:51;1578037297;1578037320;-70;0;29;C1:AF:00:01:00:23;1578037297;1578037326;-62;0;29;C1:AF:00:01:00:0F;1578037297;1578037328;-69;0;29;C1:AF:00:01:00:01;1578037297;1578037328;-67;0;29;C1:AF:00:01:00:08;1578037297;1578037326;-65;0;29;C1:00:00:4F:8B:31;1578037297;1578037324;-68;0;29;C1:AF:00:01:00:2A;1578037297;1578037328;-65;0;28;C1:AF:00:01:00:0D;1578037297;1578037328;-63;0;29;C1:AF:00:01:00:17;1578037297;1578037328;-63;0;28;C1:AF:00:01:00:0C;1578037297;1578037329;-61;0;29;C1:AF:00:01:00:1B;1578037297;1578037326;-59;0;29;C1:AF:00:01:00:09;1578037297;1578037329;-65;0;29;C1:AF:00:01:00:21;1578037297;1578037329;-62;0;29;C1:AF:00:01:00:18;1578037298;1578037328;-64;0;29;C1:AF:00:01:00:33;1578037298;1578037329;-62;0;29;C1:AF:00:01:00:2E;1578037298;1578037326;-66;0;28;C1:00:00:4A:3E:59;1578037298;1578037329;-63;0;30;C1:AF:00:01:00:1C;1578037298;1578037329;-65;0;29;C1:AF:00:01:00:02;1578037298;1578037329;-68;0;29;C1:AF:00:01:00:2F;1578037298;1578037329;-63;0;29;C1:00:00:36:70:F0;1578037298;1578037328;-64;0;30;C1:00:00:3C:F3:F5;1578037298;1578037328;-67;0;29;C1:AF:00:01:00:2B;1578037298;1578037329;-65;0;29;C1:0F:00:2E:9A:67;1578037298;1578037327;-63;0;30;C1:AF:00:01:00:66;1578037298;1578037328;-63;0;29;C1:AF:00:6D:A8:88;1578037298;1578037328;-68;0;30;C1:AF:00:01:00:32;1578037298;1578037326;-63;0;29;C1:AF:00:01:00:2D;1578037298;1578037328;-67;0;29;C1:AF:00:01:00:04;1578037298;1578037328;-67;0;29;C1:AF:00:01:00:0A;1578037298;1578037327;-67;0;29;C1:AF:00:01:00:31;1578037298;1578037328;-72;0;28;C1:00:00:51:A1:C0;1578037298;1578037328;-68;0;29;C1:AF:00:01:00:5B;1578037298;1578037328;-68;0;29;]
2020-01-03 07:42:09.844 INFO   [0x75513460](Gateway.c:1070 process_wifi_receive) - Get Tracked Object Data from LBeacon
2020-01-03 07:42:10.245 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[2], pkt_type=[4] API_version=[2.100000] new_node -> content=[]
2020-01-03 07:42:10.245 INFO   [0x75513460](Gateway.c:1019 process_wifi_receive) - Get Tracked Object Data from the Server
2020-01-03 07:42:10.280 INFO   [0x733cc460](Gateway.c:473 Server_routine) - Send tracked data request to LBeacon
2020-01-03 07:42:10.280 INFO   [0x733cc460](Gateway.c:475 Server_routine) - Start Broadcast to LBeacon
